#options: 1920x1080 fps=2997/50 timebase=50/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5593 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:B dur:2 cpbdur:2 q:23.16 aq:11.65 tex:35771 mv:25674 misc:7283 imb:743 pmb:2433 smb:4984 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:23.30 aq:12.10 tex:17344 mv:14144 misc:6520 imb:400 pmb:1877 smb:5883 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:23.02 aq:12.66 tex:17591 mv:18089 misc:6976 imb:502 pmb:2299 smb:5359 d:- ref:0 ;
in:37 out:36 type:P dur:2 cpbdur:2 q:22.69 aq:9.89 tex:196517 mv:32071 misc:6204 imb:2716 pmb:2491 smb:2953 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:22.79 aq:13.21 tex:35532 mv:22913 misc:7283 imb:914 pmb:2355 smb:4891 d:- ref:0 ;
in:40 out:38 type:P dur:2 cpbdur:2 q:22.65 aq:9.37 tex:104127 mv:28568 misc:6897 imb:2080 pmb:2141 smb:3939 d:- ref:0 ;
in:38 out:39 type:B dur:2 cpbdur:2 q:22.68 aq:11.18 tex:23457 mv:20757 misc:6386 imb:663 pmb:1851 smb:5646 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:22.66 aq:12.18 tex:18577 mv:15040 misc:5911 imb:374 pmb:1602 smb:6184 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:22.46 aq:9.71 tex:112728 mv:29486 misc:6626 imb:2450 pmb:2060 smb:3650 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:22.55 aq:11.37 tex:37403 mv:22132 misc:6857 imb:520 pmb:2167 smb:5473 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:22.60 aq:12.11 tex:16914 mv:14055 misc:6143 imb:316 pmb:1790 smb:6054 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:22.50 aq:11.75 tex:21163 mv:18573 misc:6608 imb:516 pmb:2028 smb:5616 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:22.12 aq:9.96 tex:62563 mv:15950 misc:6223 imb:1073 pmb:1395 smb:5692 d:- ref:0 ;
in:48 out:46 type:P dur:2 cpbdur:2 q:22.04 aq:9.36 tex:217171 mv:29824 misc:6221 imb:3090 pmb:2211 smb:2859 d:- ref:0 ;
in:46 out:47 type:B dur:2 cpbdur:2 q:22.09 aq:10.32 tex:34019 mv:22935 misc:6566 imb:736 pmb:1830 smb:5594 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:22.06 aq:11.34 tex:28490 mv:21322 misc:7316 imb:428 pmb:2734 smb:4998 d:- ref:0 ;
in:51 out:49 type:P dur:2 cpbdur:2 q:22.21 aq:8.74 tex:118113 mv:29735 misc:6920 imb:2072 pmb:2187 smb:3901 d:- ref:0 ;
in:49 out:50 type:B dur:2 cpbdur:2 q:22.10 aq:10.76 tex:34180 mv:23707 misc:6673 imb:674 pmb:2121 smb:5365 d:- ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:22.15 aq:11.36 tex:22007 mv:15177 misc:6232 imb:282 pmb:1869 smb:6009 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:22.04 aq:10.10 tex:123041 mv:27925 misc:6946 imb:2046 pmb:2090 smb:4024 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:22.13 aq:10.99 tex:47679 mv:22058 misc:6967 imb:431 pmb:2296 smb:5433 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:22.17 aq:11.20 tex:23883 mv:14593 misc:6332 imb:359 pmb:1892 smb:5909 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:22.08 aq:11.41 tex:24131 mv:14099 misc:5610 imb:319 pmb:1470 smb:6371 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:21.79 aq:9.91 tex:68771 mv:18697 misc:6148 imb:1303 pmb:1483 smb:5374 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:21.75 aq:10.00 tex:59093 mv:16313 misc:5706 imb:1055 pmb:1294 smb:5811 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:22.06 aq:9.82 tex:58857 mv:16133 misc:6498 imb:1337 pmb:1236 smb:5587 d:- ref:0 ;
in:61 out:59 type:P dur:2 cpbdur:2 q:22.02 aq:10.21 tex:212565 mv:30855 misc:6460 imb:2828 pmb:2277 smb:3055 d:- ref:0 ;
in:59 out:60 type:B dur:2 cpbdur:2 q:22.04 aq:10.69 tex:35487 mv:21940 misc:6165 imb:657 pmb:1729 smb:5774 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:22.03 aq:12.01 tex:43583 mv:23010 misc:7111 imb:846 pmb:2299 smb:5015 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:22.01 aq:9.55 tex:87395 mv:23731 misc:6562 imb:1987 pmb:1797 smb:4376 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:21.95 aq:9.65 tex:75841 mv:22453 misc:6442 imb:1652 pmb:1717 smb:4791 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:22.06 aq:9.67 tex:66026 mv:21824 misc:7014 imb:1678 pmb:1693 smb:4789 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:22.08 aq:8.86 tex:63113 mv:20357 misc:6226 imb:1804 pmb:1462 smb:4894 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:22.02 aq:9.95 tex:117174 mv:30317 misc:6837 imb:2696 pmb:2075 smb:3389 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:22.05 aq:10.67 tex:45518 mv:29351 misc:7571 imb:796 pmb:2947 smb:4417 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:22.06 aq:11.41 tex:20549 mv:17768 misc:6515 imb:500 pmb:1888 smb:5772 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:22.04 aq:11.03 tex:16207 mv:13556 misc:6141 imb:287 pmb:1801 smb:6072 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:21.70 aq:9.34 tex:90590 mv:26879 misc:6939 imb:2208 pmb:2096 smb:3856 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:21.94 aq:9.79 tex:217890 mv:31664 misc:5774 imb:3814 pmb:2087 smb:2259 d:- ref:0 ;
