,joy_intensity_mean,sadness_intensity_mean,anger_intensity_mean,fear_intensity_mean,disgust_intensity_mean,surprise_intensity_mean,pleasure_mean,arousal_mean,dominance_mean
count,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
mean,1.795,1.435,0.888,1.335,0.525,1.412,4.525,5.041,4.385
std,0.844,0.777,0.581,0.705,0.333,0.685,1.229,1.195,1.035
min,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,1.667
25%,1.167,0.833,0.429,0.8,0.333,0.857,3.667,4.2,3.667
50%,1.833,1.333,0.833,1.25,0.5,1.333,4.6,5.0,4.333
75%,2.333,2.0,1.2,1.808,0.667,1.833,5.333,6.0,5.0
max,4.5,4.0,3.333,3.5,1.667,3.667,8.2,7.667,7.8
