submission_id,participant_id,status,custom_study_tncs_accepted_at,started_at,completed_at,reviewed_at,archived_at,time_taken,completion_code,total_approvals,fluent_languages,age,sex,ethnicity_simplified,country_of_birth,country_of_residence,nationality,language,student_status,employment_status
663bd87f7728ad85e2e6f3b9,646bd812bf93129feeb5a3dc,APPROVED,Not Applicable,2024-05-08T19:54:46.290000Z,2024-05-08T20:13:04.765000Z,2024-05-09T12:35:24.656000Z,2024-05-08T20:15:06.111555Z,1099,C1E7Y3R1,871,English,54,Male,White,Canada,Canada,Canada,English,No,Full-Time
663bd9071758ed239bd3b12a,647869e6f69318bacc341d53,APPROVED,Not Applicable,2024-05-08T19:56:55.166000Z,2024-05-08T20:11:33.456000Z,2024-05-09T12:49:46.844000Z,2024-05-08T20:11:34.049215Z,879,C1E7Y3R1,782,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663bdc0b1c4a38102c04311b,6612d0a9046c003fef7f5e16,APPROVED,Not Applicable,2024-05-08T20:09:47.408000Z,2024-05-08T21:20:16.897000Z,2024-05-09T12:50:56.910000Z,2024-05-08T21:20:17.425910Z,4230,C1E7Y3R1,151,"English, German",26,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
663bdc763eb011cd1600de9c,63cd461c5f597e27b2a054fb,APPROVED,Not Applicable,2024-05-08T20:11:34.081000Z,2024-05-08T20:45:57.040000Z,2024-05-09T12:51:19.594000Z,2024-05-08T20:47:47.252123Z,2063,C1E7Y3R1,1088,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
663bdcbf6538e1d40fad27e9,660724a45eceb43b0c11aeb9,APPROVED,Not Applicable,2024-05-08T20:12:47.600000Z,2024-05-08T20:59:02.575000Z,2024-05-09T12:51:41.384000Z,2024-05-08T20:59:03.077976Z,2775,C1E7Y3R1,208,English,59,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Full-Time
663bdcd169560d72597026ea,5c5cad3e4ee81200018eafe2,APPROVED,Not Applicable,2024-05-08T20:13:10.925000Z,2024-05-08T20:42:39.300000Z,2024-05-09T12:52:17.992000Z,2024-05-08T20:42:39.847983Z,1769,C1E7Y3R1,4504,English,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663bdd70c59006c556e70453,65e8d383f3c7e1afd7b5c98f,APPROVED,Not Applicable,2024-05-08T20:15:44.221000Z,2024-05-08T20:33:15.599000Z,2024-05-09T13:02:15.022000Z,2024-05-08T21:33:18.933997Z,1052,C1E7Y3R1,465,English,36,Female,White,United States,United States,United States,English,No,Full-Time
663bdf0d3cc046cb36c094ce,62682277645054f5802459b8,APPROVED,Not Applicable,2024-05-08T20:22:37.066000Z,2024-05-08T20:41:13.912000Z,2024-05-09T13:10:13.900000Z,2024-05-08T20:41:14.455718Z,1117,C1E7Y3R1,1467,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663bdf3dcac5550e8195638b,60b542b8fbb1a6a2678f5054,APPROVED,Not Applicable,2024-05-08T20:23:25.221000Z,2024-05-08T20:59:20.348000Z,2024-05-09T13:12:53.638000Z,2024-05-08T20:59:20.898445Z,2156,C1E7Y3R1,1883,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663bdf77c8752ea8454a17f1,5f3e6a07e06e71069f919082,APPROVED,Not Applicable,2024-05-08T20:24:23.644000Z,2024-05-08T20:44:45.810000Z,2024-05-09T13:14:18.577000Z,2024-05-08T20:46:28.087693Z,1223,C1E7Y3R1,2527,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663be0940d799a31df1ceae8,59d9d9cd8fd07a0001842484,APPROVED,Not Applicable,2024-05-08T20:29:08.136000Z,2024-05-08T21:32:03.806000Z,2024-05-09T13:43:01.338000Z,2024-05-08T21:32:04.295544Z,3776,C1E7Y3R1,2201,English,30,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
663be142d2d3c911fffd12ae,5d76d2f7daf4bf00164d585b,APPROVED,Not Applicable,2024-05-08T20:32:02.449000Z,2024-05-08T21:11:43.785000Z,2024-05-09T13:43:26.697000Z,2024-05-08T21:11:44.323329Z,2382,C1E7Y3R1,5734,English,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
663be18b9042d15ba65d5955,5d68c8aa40524c00189e8ac2,APPROVED,Not Applicable,2024-05-08T20:33:29.434000Z,2024-05-08T21:37:54.897000Z,2024-05-09T13:43:50.392000Z,2024-05-08T21:37:57.000255Z,3866,C1E7Y3R1,3470,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663be36ab06ea3eca15a7b31,6278270bfb2439bf3abf192d,APPROVED,Not Applicable,2024-05-08T20:41:14.132000Z,2024-05-08T21:03:55.305000Z,2024-05-09T14:10:35.454000Z,2024-05-08T21:03:56.097470Z,1362,C1E7Y3R1,1772,English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
